iso	hs2	year	x	x_wd	description	product_name
"BWA"	24	2023	2299580	71219249152	"Tobacco and manufactured tobacco substitutes"	"TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
"BWA"	25	2000	7300389	18089443328	"Salt; sulphur; earths, stone; plastering materials, lime and cement"	"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT"
"BWA"	25	2023	25180180	70210469888	"Salt; sulphur; earths, stone; plastering materials, lime and cement"	"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT"
"BWA"	26	2000	137671	26425796608	"Ores, slag and ash"	"ORES, SLAG AND ASH"
"BWA"	26	2023	507903422	337366253568	"Ores, slag and ash"	"ORES, SLAG AND ASH"
"BWA"	27	2000	2265752	640086573056	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"	"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES"
"BWA"	27	2023	36738787	3026794840064	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"	"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES"
"BWA"	28	2000	19289626	47037628416	"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"	"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES"
"BWA"	28	2023	56491050	217580191744	"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"	"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES"
"BWA"	29	2000	65492	182715367424	"Organic chemicals"	"ORGANIC CHEMICALS"
"BWA"	29	2023	130056	571815297024	"Organic chemicals"	"ORGANIC CHEMICALS"
"BWA"	30	2000	2847533	119664640000	"Pharmaceutical products"	"PHARMACEUTICAL PRODUCTS"
"BWA"	30	2023	11928339	1110070657024	"Pharmaceutical products"	"PHARMACEUTICAL PRODUCTS"
"BWA"	31	2000	14602	16369579008	"Fertilizers"	"FERTILISERS"
"BWA"	31	2023	964863	79824863232	"Fertilizers"	"FERTILISERS"
"BWA"	32	2000	1453937	42717040640	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"	"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS"
"BWA"	32	2023	939999	100833067008	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"	"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS"
"BWA"	33	2000	298796	38857678848	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS"
"BWA"	33	2023	1070376	233269346304	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS"
"BWA"	34	2000	955232	20615108608	"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, 'dental waxes' and dental preparations with a basis of plaster"	"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATION"
"BWA"	34	2023	858729	93050281984	"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, 'dental waxes' and dental preparations with a basis of plaster"	"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATION"
"BWA"	35	2000	28255	12213964800	"Albuminoidal substances; modified starches; glues; enzymes"	"ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES"
"BWA"	35	2023	113896	51654811648	"Albuminoidal substances; modified starches; glues; enzymes"	"ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES"
"BWA"	36	2000	56441	1825948672	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	"EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS"
"BWA"	36	2023	693	7119278080	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	"EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS"
"BWA"	37	2000	101621	21630142464	"Photographic or cinematographic goods"	"PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS"
"BWA"	37	2023	4320	15977455616	"Photographic or cinematographic goods"	"PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS"
"BWA"	38	2000	49481	66812518400	"Chemical products n.e.c."	"MISCELLANEOUS CHEMICAL PRODUCTS"
"BWA"	38	2023	580270	341253881856	"Chemical products n.e.c."	"MISCELLANEOUS CHEMICAL PRODUCTS"
"BWA"	39	2000	7781126	214417342464	"Plastics and articles thereof"	"PLASTICS AND ARTICLES THEREOF"
"BWA"	39	2023	34029781	817458839552	"Plastics and articles thereof"	"PLASTICS AND ARTICLES THEREOF"
"BWA"	40	2000	434579	61916651520	"Rubber and articles thereof"	"RUBBER AND ARTICLES THEREOF"
"BWA"	40	2023	786419	270742011904	"Rubber and articles thereof"	"RUBBER AND ARTICLES THEREOF"
"BWA"	41	2000	8575248	24146345984	"Raw hides and skins (other than furskins) and leather"	"RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER"
"BWA"	41	2023	1287692	19172233216	"Raw hides and skins (other than furskins) and leather"	"RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER"
"BWA"	42	2000	266869	27258251264	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"	"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)"
